time, vx, vy
284, 1.26664e-13, 1.1576e-13
285, 1.27393e-13, 1.16182e-13
286, 1.28122e-13, 1.16604e-13
287, 1.28852e-13, 1.17027e-13
288, 1.29582e-13, 1.1745e-13
289, 1.30312e-13, 1.17873e-13
290, 1.31043e-13, 1.18297e-13
291, 1.31774e-13, 1.1872e-13
292, 1.32505e-13, 1.19144e-13
293, 1.33237e-13, 1.19569e-13
294, 1.33969e-13, 1.19993e-13
295, 1.34702e-13, 1.20418e-13
296, 1.35435e-13, 1.20843e-13
297, 1.36168e-13, 1.21268e-13
298, 1.36902e-13, 1.21693e-13
299, 1.37636e-13, 1.22119e-13
300, 1.3837e-13, 1.22545e-13
301, 1.39105e-13, 1.22971e-13
302, 1.39841e-13, 1.23398e-13
303, 1.40576e-13, 1.23825e-13
304, 1.41312e-13, 1.24252e-13
305, 1.42049e-13, 1.24679e-13
306, 1.42786e-13, 1.25106e-13
307, 1.43523e-13, 1.25534e-13
308, 1.4426e-13, 1.25962e-13
309, 1.44998e-13, 1.26391e-13
310, 1.45737e-13, 1.26819e-13
311, 1.46476e-13, 1.27248e-13
312, 1.47215e-13, 1.27678e-13
313, 1.47955e-13, 1.28107e-13
314, 1.48695e-13, 1.28537e-13
315, 1.49435e-13, 1.28967e-13
316, 1.50176e-13, 1.29397e-13
317, 1.50918e-13, 1.29828e-13
318, 1.51659e-13, 1.30259e-13
319, 1.52402e-13, 1.3069e-13
320, 1.53144e-13, 1.31121e-13
321, 1.53887e-13, 1.31553e-13
322, 1.54631e-13, 1.31985e-13
323, 1.55375e-13, 1.32418e-13
324, 1.56119e-13, 1.3285e-13
325, 1.56864e-13, 1.33283e-13
326, 1.57609e-13, 1.33716e-13
327, 1.58355e-13, 1.3415e-13
328, 1.59101e-13, 1.34584e-13
329, 1.59847e-13, 1.35018e-13
330, 1.60594e-13, 1.35452e-13
331, 1.61342e-13, 1.35887e-13
332, 1.6209e-13, 1.36322e-13
333, 1.62838e-13, 1.36757e-13
334, 1.63587e-13, 1.37193e-13
335, 1.64336e-13, 1.37629e-13
336, 1.65086e-13, 1.38065e-13
337, 1.65836e-13, 1.38502e-13
338, 1.66587e-13, 1.38939e-13
339, 1.67338e-13, 1.39376e-13
340, 1.6809e-13, 1.39814e-13
341, 1.68842e-13, 1.40252e-13
342, 1.69594e-13, 1.4069e-13
343, 1.70347e-13, 1.41128e-13
344, 1.71101e-13, 1.41567e-13
345, 1.71855e-13, 1.42006e-13
346, 1.72609e-13, 1.42446e-13
347, 1.73364e-13, 1.42886e-13
348, 1.7412e-13, 1.43326e-13
349, 1.74876e-13, 1.43766e-13
350, 1.75632e-13, 1.44207e-13
351, 1.76389e-13, 1.44648e-13
352, 1.77146e-13, 1.4509e-13
353, 1.77904e-13, 1.45532e-13
354, 1.78663e-13, 1.45974e-13
355, 1.79422e-13, 1.46417e-13
356, 1.80181e-13, 1.46859e-13
357, 1.80941e-13, 1.47303e-13
358, 1.81702e-13, 1.47746e-13
359, 1.82463e-13, 1.4819e-13
360, 1.83224e-13, 1.48635e-13
361, 1.83986e-13, 1.49079e-13
362, 1.84749e-13, 1.49524e-13
363, 1.85512e-13, 1.4997e-13
364, 1.86275e-13, 1.50415e-13
365, 1.87039e-13, 1.50861e-13
366, 1.87804e-13, 1.51308e-13
367, 1.88569e-13, 1.51755e-13
368, 1.89335e-13, 1.52202e-13
369, 1.90101e-13, 1.52649e-13
370, 1.90868e-13, 1.53097e-13
371, 1.91635e-13, 1.53546e-13
372, 1.92403e-13, 1.53994e-13
373, 1.93172e-13, 1.54443e-13
374, 1.93941e-13, 1.54893e-13
375, 1.9471e-13, 1.55343e-13
376, 1.9548e-13, 1.55793e-13
377, 1.96251e-13, 1.56243e-13
378, 1.97022e-13, 1.56694e-13
379, 1.97794e-13, 1.57146e-13
380, 1.98566e-13, 1.57597e-13
381, 1.99339e-13, 1.5805e-13
382, 2.00113e-13, 1.58502e-13
383, 2.00887e-13, 1.58955e-13
384, 2.01661e-13, 1.59408e-13
385, 2.02436e-13, 1.59862e-13
386, 2.03212e-13, 1.60316e-13
387, 2.03989e-13, 1.60771e-13
388, 2.04766e-13, 1.61226e-13
389, 2.05543e-13, 1.61681e-13
390, 2.06321e-13, 1.62137e-13
391, 2.071e-13, 1.62593e-13
392, 2.07879e-13, 1.63049e-13
393, 2.08659e-13, 1.63506e-13
394, 2.0944e-13, 1.63964e-13
395, 2.10221e-13, 1.64421e-13
396, 2.11003e-13, 1.6488e-13
397, 2.11785e-13, 1.65338e-13
398, 2.12568e-13, 1.65797e-13
399, 2.13352e-13, 1.66257e-13
400, 2.14136e-13, 1.66717e-13
401, 2.14921e-13, 1.67177e-13
402, 2.15706e-13, 1.67638e-13
